,mean,std
dist_ema200,0.00479739467377753,0.01843782061066572
ex_tema,135.34817290482337,16.482140374312966
ex_dema,135.3481398662128,16.48363795661786
ex_ama,135.3151279118742,16.48187863462053
ex_env_upper,135.44378717578613,16.51106173046149
ex_env_lower,135.17317021838343,16.478072596137014
ex_env_position,0.6637655129477766,2.5829197504251633
ex_fractal_up,17.479790968278152,45.92687771015874
ex_fractal_down,17.97234201412938,46.17471277080844
ex_rvi,0.038806184899570585,0.19750589289653317
ex_rvi_signal,0.038749891241169135,0.1923339491849845
ex_obv,2226108.8280925336,1821638.301768791
ex_mfi,52.60002529228702,16.6458988395052
ex_ac,8.600860506995454e-05,0.25646896497741545
ex_adxw,26.195925658945836,10.357866990842505
ex_adxw_plus_di,21.723816035691925,7.351297292121411
ex_adxw_minus_di,21.25624979467932,7.789891048341743
ex_chv,5.070588058424989,39.21703369429395
ex_pvt,-2844.667518422751,5044.193509686404
ex_roc,0.05534805478182574,0.8753492518124791
ex_wpr,-42.814705264313616,29.985560815707778
candle_hammer,0.34201412938080067,0.8978413233214207
candle_engulfing,0.008865493835711318,0.39661784761618524
candle_inside,0.1651198226901233,0.3713143857824367
candle_outside,0.12827261393544812,0.3344162806904231
candle_star,-0.0030475135060257655,0.27146886400599196
candle_soldiers,0.036985732095858155,0.4808791822115745
candle_marubozu,0.0545781964260978,0.8178949242102955
candle_harami,-0.004432746917855659,0.25568032484579284
candle_piercing,0.0006926167059149467,0.18196480191557554
candle_mathold,0.0,1e-08
