side,entry,sl,tp,lots,open_idx,open_time,exit,exit_time,close_idx,bars_held,pnl_pct,pnl_dollars,reason
short,0.74815034,0,0,1.0,826,2021-07-14 12:00:00,0.747919554,2021-07-14 20:00:00,828,2,0.00020847543289232264,2.1479673316164853,signal
short,0.7458907920000001,0,0,1.0,830,2021-07-15 04:00:00,0.73794756,2021-07-19 00:00:00,841,11,0.010549323044599447,108.71460932453707,signal
short,0.7383223059999999,0,0,1.0,842,2021-07-19 04:00:00,0.734006772,2021-07-20 00:00:00,847,5,0.005745054341348797,59.829445018547304,signal
long,0.731876346,0,0,1.0,850,2021-07-20 12:00:00,0.7352329240000001,2021-07-26 00:00:00,871,21,0.004486263811291573,46.988712709221545,signal
short,0.73605276,0,0,1.0,881,2021-07-27 16:00:00,0.734856942,2021-08-02 00:00:00,901,20,0.0015246362556945172,16.04053998812692,signal
short,0.7362527200000001,0,0,1.0,905,2021-08-02 16:00:00,0.7364472599999999,2021-08-02 20:00:00,906,1,-0.00036422992365971055,-3.8378677120031823,signal
short,0.7397920120000001,0,0,1.0,908,2021-08-03 04:00:00,0.739487868,2021-08-03 20:00:00,912,4,0.0003111209570618034,3.2770678426200655,signal
short,0.740091952,0,0,1.0,914,2021-08-04 04:00:00,0.73784754,2021-08-04 20:00:00,918,4,0.0029326123584168216,30.899106678091613,signal
short,0.738172336,0,0,1.0,919,2021-08-05 00:00:00,0.73294656,2021-08-09 20:00:00,936,17,0.006979344138412631,73.75265006877332,signal
short,0.733113348,0,0,1.0,937,2021-08-10 00:00:00,0.737037378,2021-08-12 00:00:00,949,12,-0.005452555659646736,-58.02079650543056,signal
short,0.736522666,0,0,1.0,951,2021-08-12 08:00:00,0.7336467,2021-08-12 20:00:00,954,3,0.003804789537054197,40.266114422194754,signal
long,0.73389675,0,0,1.0,955,2021-08-13 00:00:00,0.733763218,2021-08-13 04:00:00,956,1,-0.0002819493000888637,-2.995224428010163,signal
long,0.734206812,0,0,1.0,957,2021-08-13 08:00:00,0.737212528,2021-08-13 16:00:00,959,2,0.003993827448716168,42.41555747393952,signal
short,0.7338631980000001,0,0,1.0,963,2021-08-16 08:00:00,0.7171434,2021-08-23 08:00:00,993,30,0.022683262664712774,241.8646768858592,max_hold
short,0.7168566,0,0,1.0,993,2021-08-23 08:00:00,0.722864544,2021-08-27 00:00:00,1015,22,-0.0084809565260333,-92.48108365132607,signal
long,0.724384848,0,0,1.0,1016,2021-08-27 04:00:00,0.7307438220000001,2021-08-27 20:00:00,1020,4,0.00867844700583808,93.83203788997945,signal
short,0.729594052,0,0,1.0,1027,2021-08-31 00:00:00,0.7316062919999999,2021-08-31 20:00:00,1032,5,-0.0028580268705368874,-31.169381282905075,signal
short,0.731073756,0,0,1.0,1034,2021-09-01 04:00:00,0.7362972299999999,2021-09-02 00:00:00,1039,5,-0.007244934361451617,-78.7867755296169,signal
short,0.7365726560000001,0,0,1.0,1040,2021-09-02 04:00:00,0.743688708,2021-09-06 00:00:00,1051,11,-0.009761032000079937,-105.37964224363647,signal
short,0.743091352,0,0,1.0,1058,2021-09-07 04:00:00,0.7364472599999999,2021-09-08 20:00:00,1068,10,0.008841151020150812,94.51697313062077,signal
long,0.735537078,0,0,1.0,1069,2021-09-09 00:00:00,0.7378324039999999,2021-09-09 16:00:00,1073,4,0.0030206122283340975,32.5775755945916,signal
short,0.73670263,0,0,1.0,1075,2021-09-10 00:00:00,0.736607292,2021-09-13 12:00:00,1084,9,2.941178179322622e-05,0.31816688658878084,signal
short,0.7365526600000001,0,0,1.0,1086,2021-09-13 20:00:00,0.7314462599999999,2021-09-15 00:00:00,1093,7,0.006832837633089502,73.91754203383692,signal
short,0.732783414,0,0,1.0,1095,2021-09-15 08:00:00,0.724684908,2021-09-22 04:00:00,1124,29,0.010951704835666574,119.28491297748982,signal
long,0.7247349179999999,0,0,1.0,1125,2021-09-22 08:00:00,0.72425512,2021-09-22 20:00:00,1128,3,-0.000762032403963548,-8.390882428808794,signal
short,0.722935384,0,0,1.0,1129,2021-09-23 00:00:00,0.727435458,2021-09-23 08:00:00,1131,2,-0.006324725057862108,-69.58966967940229,signal
short,0.729384094,0,0,1.0,1132,2021-09-23 12:00:00,0.729305832,2021-09-23 20:00:00,1134,2,7.2987478666502374e-06,0.0797987280479511,signal
short,0.730833804,0,0,1.0,1135,2021-09-24 00:00:00,0.719183808,2021-09-30 00:00:00,1159,24,0.01584069121630277,173.19083487505873,signal
long,0.7201940099999999,0,0,1.0,1160,2021-09-30 04:00:00,0.72110575,2021-09-30 16:00:00,1163,3,0.0011659644308900177,12.949758956520604,signal
short,0.725564858,0,0,1.0,1168,2021-10-01 12:00:00,0.726705312,2021-10-04 00:00:00,1171,3,-0.0016718153758763733,-18.589631239057454,signal
long,0.7272254159999999,0,0,1.0,1172,2021-10-04 04:00:00,0.726334704,2021-10-05 04:00:00,1178,6,-0.0013248086774787652,-14.706487424322885,signal
long,0.728025576,0,0,1.0,1179,2021-10-05 08:00:00,0.728824206,2021-10-05 20:00:00,1182,3,0.0009969806917882545,11.052659752970424,signal
short,0.72570483,0,0,1.0,1184,2021-10-06 04:00:00,0.7284656639999999,2021-10-07 00:00:00,1189,5,-0.00390434838775971,-43.327275827433496,signal
long,0.729535878,0,0,1.0,1197,2021-10-08 08:00:00,0.73165364,2021-10-11 04:00:00,1202,5,0.002802889445006875,30.982740756911202,signal
short,0.734143142,0,0,1.0,1203,2021-10-11 08:00:00,0.734516874,2021-10-11 20:00:00,1206,3,-0.0006090723846876384,-6.751470132243359,signal
short,0.736072756,0,0,1.0,1210,2021-10-12 12:00:00,0.737857542,2021-10-13 20:00:00,1218,8,-0.00252474128467809,-27.969308293906877,signal
long,0.741758322,0,0,1.0,1222,2021-10-14 12:00:00,0.741311708,2021-10-14 20:00:00,1224,2,-0.0007021017719030213,-7.75830851525013,signal
short,0.742041562,0,0,1.0,1226,2021-10-15 04:00:00,0.7411882080000001,2021-10-18 00:00:00,1231,5,0.0010500083603133443,11.594571620343839,signal
long,0.738587688,0,0,1.0,1234,2021-10-18 12:00:00,0.7408717960000001,2021-10-18 20:00:00,1236,2,0.002992534626707883,33.07934553049259,signal
short,0.749040162,0,0,1.0,1246,2021-10-20 12:00:00,0.74669931,2021-10-21 20:00:00,1254,8,0.0030251354984087014,33.53978362814525,signal
long,0.747659502,0,0,1.0,1256,2021-10-22 04:00:00,0.748610248,2021-10-25 20:00:00,1266,10,0.001171629662241626,13.029195462627534,signal
long,0.7498199339999999,0,0,1.0,1267,2021-10-26 00:00:00,0.75144968,2021-10-27 20:00:00,1278,11,0.0020735165018967057,23.085711903551243,signal
short,0.752029564,0,0,1.0,1288,2021-10-29 12:00:00,0.7520603819999999,2021-10-29 20:00:00,1290,2,-0.0001409797719068562,-1.572867590126911,signal
short,0.750179934,0,0,1.0,1292,2021-11-01 04:00:00,0.739937958,2021-11-05 20:00:00,1320,28,0.01355269255522382,151.18187086461955,signal
short,0.7404218859999999,0,0,1.0,1322,2021-11-08 04:00:00,0.742268424,2021-11-08 20:00:00,1326,4,-0.0025938998088991115,-29.327406431891163,signal
short,0.7416916320000001,0,0,1.0,1328,2021-11-09 04:00:00,0.729305832,2021-11-11 16:00:00,1343,15,0.016599392935850343,187.19088015347467,signal
long,0.729015774,0,0,1.0,1344,2021-11-11 20:00:00,0.734243122,2021-11-15 20:00:00,1356,12,0.007070418235696531,81.05642236567233,signal
short,0.733833204,0,0,1.0,1358,2021-11-16 04:00:00,0.728265624,2021-11-17 04:00:00,1364,6,0.007486982940608417,86.43885581348039,signal
long,0.728185608,0,0,1.0,1365,2021-11-17 08:00:00,0.72675462,2021-11-17 16:00:00,1367,2,-0.002065141832355421,-24.021022697714855,signal
long,0.725765124,0,0,1.0,1369,2021-11-18 00:00:00,0.727414488,2021-11-18 16:00:00,1373,4,0.002172586468346102,25.218594166079075,signal
long,0.727665504,0,0,1.0,1374,2021-11-18 20:00:00,0.719146142,2021-11-24 20:00:00,1398,24,-0.011807799742008821,-137.35842434006113,signal
short,0.719925986,0,0,1.0,1400,2021-11-25 04:00:00,0.7103820479999999,2021-12-02 04:00:00,1430,30,0.013156832209971214,151.2443219252429,max_hold
long,0.7103820479999999,0,0,1.0,1430,2021-12-02 04:00:00,0.707878396,2021-12-03 04:00:00,1436,6,-0.0036243739717925867,-42.21214520148723,signal
short,0.700639844,0,0,1.0,1439,2021-12-03 16:00:00,0.712962564,2021-12-08 04:00:00,1454,15,-0.01768780935101945,-205.25869528474635,signal
