side,entry,sl,tp,lots,open_idx,open_time,mfe,mae,exit,exit_time,close_idx,bars_held,pnl_pct,pnl_dollars,swap_pct,mae_pct,mfe_pct,reason,ambiguous
long,105.9081774,0,0,1.0,8796,2020-08-24 16:00:00,0.0008197912770426447,0.0005931798803668588,105.97380100000001,2020-08-25 00:00:00,8798,2,0.0005196273187872764,10.974557409129359,0.0,0.0005931798803668588,0.0008197912770426447,signal,False
long,106.3542666,0,0,1.0,8800,2020-08-25 08:00:00,0.0010599800422110776,-0.0012342391536928107,106.3777202,2020-08-26 12:00:00,8807,7,0.00012052335792230735,2.5467826054095664,0.0,-0.0012342391536928107,0.0010599800422110776,signal,False
short,105.9228112,0,0,1.0,8811,2020-08-27 04:00:00,0.0005835494668214958,-0.007346753651870554,105.8821722,2020-08-28 08:00:00,8818,7,0.0002836661767149054,5.994880722532771,0.0,-0.007346753651870554,0.0005835494668214958,signal,False
long,105.6921342,0,0,1.0,8823,2020-08-31 04:00:00,0.0028182399972768906,0.0004339566075296585,105.71685240000001,2020-09-01 08:00:00,8830,7,0.00013386981620822888,2.829950477158897,0.0,0.0004339566075296585,0.0028182399972768906,signal,False
short,105.92881,0,0,1.0,8833,2020-09-01 20:00:00,-0.0010213463173994644,-0.002484593190464374,106.20123600000001,2020-09-02 20:00:00,8839,6,-0.002671783823494383,-56.48792470298637,0.0,-0.002484593190464374,-0.0010213463173994644,signal,False
long,106.2502458,0,0,1.0,8840,2020-09-03 00:00:00,0.0012870953753595796,-0.0013293691599159311,106.16176340000001,2020-09-03 20:00:00,8845,5,-0.0009327736028634159,-19.668383011628986,0.0,-0.0013293691599159311,0.0012870953753595796,signal,False
long,106.1582274,0,0,1.0,8847,2020-09-04 04:00:00,0.0004500131659131474,0.0004500131659131474,106.18475880000001,2020-09-04 08:00:00,8848,1,0.00014992316328004464,3.1583180270631215,0.0,0.0004500131659131474,0.0004500131659131474,signal,False
long,106.4502858,0,0,1.0,8849,2020-09-04 12:00:00,-0.001834525840230367,-0.002144529704964014,106.2007556,2020-09-04 20:00:00,8851,2,-0.0024441007990230255,-51.49574447754317,0.0,-0.002144529704964014,-0.001834525840230367,signal,False
long,106.2682494,0,0,1.0,8853,2020-09-07 04:00:00,-0.0005857760935318362,-0.0006328268356701523,106.18475880000001,2020-09-07 12:00:00,8855,2,-0.0008856589383130501,-18.614697342254534,0.0,-0.0006328268356701523,-0.0005857760935318362,signal,False
long,106.2622482,0,0,1.0,8857,2020-09-07 20:00:00,0.0002799846653347925,-0.0033995911635530942,106.15376499999999,2020-09-10 16:00:00,8874,17,-0.0011209006663949832,-23.538120916945903,0.0,-0.0033995911635530942,0.0002799846653347925,signal,False
